subscription_id,account_id,start_date,end_date,plan_tier,seats,mrr_amount,arr_amount,is_trial_x,upgrade_flag,downgrade_flag,churn_flag,billing_frequency,auto_renew_flag,account_name,industry,country,referral_source,is_trial_y,churn_date,reason_code,refund_amount_usd,preceding_upgrade_flag,preceding_downgrade_flag,tenure_months,ltv_realized,churn_risk_score,risk_tier
S-b9ff15,A-95b24a,2024-01-08,,Enterprise,43,8557,102684,False,False,False,False,annual,False,Company_117,FinTech,US,event,False,,,,,,18.86,272174.0,0.14,Low
S-10bd09,A-bbc346,2024-09-03,,Basic,50,950,11400,False,False,False,False,annual,True,Company_138,FinTech,US,partner,False,2024-10-31,competitor,0.0,True,False,2.07,75530.0,,
S-12bfc8,A-31ab9a,2024-12-06,,Enterprise,29,5771,69252,False,False,False,False,monthly,False,Company_460,FinTech,DE,organic,False,2024-08-09,budget,0.0,False,False,5.22,45865.0,,
S-f5c472,A-faa28c,2024-07-09,,Basic,48,912,10944,False,False,False,False,monthly,True,Company_91,HealthTech,US,organic,False,2024-08-20,features,0.0,False,False,3.78,269394.0,,
S-dbc1ca,A-8adedc,2024-04-24,,Enterprise,14,2786,33432,False,False,False,False,annual,True,Company_300,EdTech,US,event,True,,,,,,,,,
S-dc6dfd,A-e08cd3,2024-09-30,,Pro,67,3283,39396,False,False,False,False,monthly,True,Company_475,FinTech,US,ads,True,2024-09-21,competitor,0.0,False,False,,,,
S-b2d472,A-bcf87c,2024-08-27,2024-12-11,Enterprise,10,1990,23880,False,False,False,True,annual,False,Company_288,FinTech,US,event,False,,,,,,6.14,37810.0,0.49,Medium
S-9dfce0,A-e6afc1,2024-08-30,,Pro,2,98,1176,False,False,False,False,annual,True,Company_346,DevTools,US,ads,False,,,,,,22.21,256435.0,0.07,Low
S-9cb6a7,A-7f29a7,2024-12-21,,Basic,41,779,9348,False,False,False,False,monthly,True,Company_386,Cybersecurity,UK,event,True,2024-10-09,unknown,23.97,True,False,,,,
S-dabcd2,A-3ce5b8,2024-09-22,,Pro,28,0,0,True,False,False,False,monthly,True,Company_256,FinTech,IN,ads,False,2024-09-18,features,261.49,False,False,12.39,147836.0,,
S-8c3cc8,A-b2225d,2024-10-17,,Basic,47,0,0,True,False,False,False,monthly,True,Company_50,FinTech,US,ads,False,2024-03-31,pricing,0.0,False,False,0.76,90362.0,,
S-2923fc,A-fa3095,2024-07-08,,Enterprise,70,13930,167160,False,False,False,False,annual,True,Company_174,FinTech,US,ads,False,2023-12-23,support,0.0,False,False,3.65,492184.0,,
S-f0a2e5,A-55f257,2024-06-05,,Basic,23,0,0,True,False,False,False,annual,True,Company_496,FinTech,US,organic,False,,,,,,12.35,86096.0,0.24,Low
S-025bea,A-9affe6,2024-06-25,,Pro,17,833,9996,False,True,False,False,monthly,True,Company_401,Cybersecurity,US,other,False,2024-01-12,features,83.06,False,False,9.72,98546.0,,
S-0e499f,A-296d7c,2024-08-17,,Pro,16,784,9408,False,False,False,False,annual,False,Company_182,DevTools,DE,other,False,2024-11-04,budget,0.0,False,False,11.89,8150.0,,
S-0267b7,A-65a46c,2024-10-17,2024-12-04,Enterprise,13,0,0,True,False,False,True,monthly,True,Company_95,HealthTech,US,event,False,,,,,,13.9,162170.0,0.19,Low
S-b5b9a5,A-812c5b,2024-07-25,,Basic,55,1045,12540,False,False,False,False,monthly,True,Company_395,DevTools,CA,organic,False,2024-05-11,support,11.83,False,False,2.5,82438.0,,
S-8e45ba,A-7f8241,2023-12-13,,Basic,34,646,7752,False,False,False,False,annual,False,Company_42,EdTech,US,organic,False,,,,,,21.62,366446.0,0.08,Low
S-37ed34,A-d4ac0e,2024-07-07,,Enterprise,20,3980,47760,False,False,False,False,annual,True,Company_364,DevTools,UK,ads,False,,,,,,8.38,83974.0,0.36,Low
S-65dbf3,A-17939a,2024-12-28,,Basic,36,684,8208,False,False,False,False,monthly,True,Company_162,HealthTech,US,organic,False,,,,,,0.16,7735.0,0.67,High
S-ce5450,A-0a282f,2024-12-25,2024-12-28,Pro,8,0,0,True,False,False,True,annual,True,Company_2,DevTools,US,organic,False,2024-10-06,features,0.0,False,False,1.31,35485.0,,
S-6c969d,A-855a48,2024-05-08,,Basic,14,266,3192,False,False,False,False,monthly,False,Company_389,EdTech,US,partner,True,2024-08-01,unknown,7.92,False,False,,,,
S-522aef,A-f3ff05,2024-08-22,,Pro,4,196,2352,False,False,False,False,annual,True,Company_44,FinTech,IN,other,False,2024-10-20,unknown,0.0,False,False,3.48,53588.0,,
S-82db05,A-417d2f,2024-12-09,,Pro,26,1274,15288,False,False,False,False,monthly,True,Company_285,Cybersecurity,IN,partner,True,2024-12-30,budget,0.0,False,False,,,,
S-162596,A-462d45,2024-02-29,,Pro,18,0,0,True,False,False,False,monthly,True,Company_13,Cybersecurity,US,partner,True,2024-05-17,competitor,0.0,False,False,,,,
S-f703bd,A-202b67,2024-09-04,,Pro,11,539,6468,False,False,False,False,monthly,True,Company_305,HealthTech,US,organic,False,2024-09-14,pricing,9.28,False,False,0.26,83509.0,,
S-a1d6ad,A-eafc6e,2024-09-01,,Pro,27,1323,15876,False,False,False,False,monthly,True,Company_149,DevTools,US,partner,False,2023-07-31,pricing,0.0,False,False,0.82,126429.0,,
S-8b1fc1,A-309e54,2024-12-26,,Basic,15,0,0,True,False,False,False,monthly,True,Company_371,DevTools,US,other,False,2024-12-14,support,106.67,False,False,0.16,22839.0,,
S-09cdac,A-82861f,2024-07-31,2024-09-04,Basic,41,779,9348,False,False,False,True,annual,True,Company_350,DevTools,UK,organic,False,2024-05-17,support,0.0,False,False,0.72,168174.0,,
S-fa5301,A-ba6516,2024-03-14,,Pro,55,0,0,True,False,False,False,monthly,False,Company_154,FinTech,US,ads,False,2024-03-17,budget,0.0,False,False,4.6,163156.0,,
S-69937b,A-08e34e,2024-08-08,,Pro,14,686,8232,False,False,False,False,annual,False,Company_32,EdTech,US,event,False,2024-07-13,competitor,225.18,False,False,0.53,49903.0,,
S-f2537d,A-e43bf7,2024-01-24,,Pro,44,2156,25872,False,False,False,False,monthly,True,Company_215,Cybersecurity,AU,other,False,2023-06-24,pricing,0.0,False,False,3.02,441466.0,,
S-27f7b2,A-a1b80b,2024-04-03,,Basic,38,722,8664,False,False,False,False,annual,True,Company_184,HealthTech,US,organic,False,,,,,,13.14,205002.0,0.39,Low
S-9c2b8e,A-443f6f,2024-12-26,,Basic,19,361,4332,False,True,False,False,annual,True,Company_304,Cybersecurity,US,organic,False,,,,,,0.79,10875.0,0.69,High
S-a4f26d,A-32728c,2023-05-21,,Pro,20,980,11760,False,False,False,False,monthly,True,Company_54,DevTools,US,event,False,2024-06-22,support,0.0,False,False,0.72,55066.0,,
S-0cb6ed,A-ac85cd,2024-11-09,2024-12-18,Pro,53,2597,31164,False,False,False,True,annual,True,Company_485,EdTech,US,partner,False,2024-10-20,features,83.94,False,False,2.66,63713.0,,
S-367dee,A-e19ff6,2024-06-29,,Pro,1,49,588,False,False,False,False,annual,True,Company_411,Cybersecurity,UK,partner,False,2024-04-18,unknown,0.0,False,False,5.39,23651.0,,
S-3b9ad8,A-6e08f3,2024-12-24,,Enterprise,28,5572,66864,False,False,False,False,monthly,False,Company_220,Cybersecurity,US,event,False,,,,,,22.11,97558.0,0.15,Low
S-c9f8c1,A-544d0a,2024-07-23,,Enterprise,5,995,11940,False,False,True,False,monthly,True,Company_153,DevTools,US,organic,True,,,,,,,,,
S-57cd05,A-8b0451,2024-10-26,,Basic,41,779,9348,False,False,False,False,annual,True,Company_245,FinTech,UK,event,False,2024-12-29,budget,0.0,False,False,3.42,39005.0,,
S-e505c1,A-8ae3fc,2024-09-17,,Pro,34,1666,19992,False,False,False,False,annual,True,Company_495,DevTools,CA,ads,False,2024-08-10,budget,0.0,False,False,1.41,14810.0,,
S-121b4d,A-8ae3fc,2024-11-22,,Basic,9,171,2052,False,False,False,False,annual,True,Company_495,DevTools,CA,ads,False,2024-08-10,budget,0.0,False,False,1.41,14810.0,,
S-72b4f2,A-4437e4,2024-02-06,,Pro,49,2401,28812,False,False,False,False,annual,True,Company_192,Cybersecurity,US,event,False,2024-06-21,features,0.0,False,False,9.17,95594.0,,
S-c9b0cc,A-4d1e75,2024-10-11,,Enterprise,38,7562,90744,False,False,False,False,monthly,True,Company_58,DevTools,US,other,False,2024-09-05,budget,0.0,False,False,0.49,82942.0,,
S-27c993,A-098560,2024-11-17,,Enterprise,4,796,9552,False,False,False,False,monthly,True,Company_349,DevTools,UK,ads,False,2024-09-04,pricing,0.0,False,False,7.29,59347.0,,
S-8b9889,A-ac9111,2024-08-18,,Pro,21,1029,12348,False,False,False,False,monthly,True,Company_487,HealthTech,US,event,True,2024-06-25,budget,0.0,True,False,,,,
S-2214c6,A-3c1a3f,2024-10-07,,Pro,82,4018,48216,False,False,False,False,monthly,True,Company_224,DevTools,UK,event,False,,,,,,16.2,92200.0,0.17,Low
S-ce695e,A-cb6cc6,2024-05-25,,Enterprise,13,0,0,True,False,False,False,annual,False,Company_419,DevTools,US,ads,True,,,,,,,,,
S-066d80,A-9b9fe9,2024-08-17,,Pro,5,245,2940,False,False,False,False,monthly,True,Company_71,EdTech,AU,other,False,2024-09-04,features,0.0,False,False,2.96,61072.0,,
S-228457,A-029f69,2024-05-24,,Enterprise,24,4776,57312,False,False,False,False,annual,True,Company_129,Cybersecurity,CA,event,False,2024-12-14,competitor,32.73,False,False,3.35,58553.0,,
S-e50612,A-c7e58b,2024-07-15,,Basic,13,247,2964,False,False,False,False,annual,False,Company_404,HealthTech,IN,other,False,,,,,,18.23,38922.0,0.24,Low
S-64fba3,A-00bed1,2024-07-16,,Enterprise,28,5572,66864,False,False,False,False,annual,True,Company_306,Cybersecurity,US,ads,True,2024-01-03,unknown,21.17,False,False,,,,
S-2372d2,A-cea1f0,2024-12-22,,Enterprise,21,4179,50148,False,False,False,False,annual,False,Company_273,FinTech,US,event,False,,,,,,8.8,24123.0,0.31,Low
S-2661dc,A-c37cab,2024-08-07,,Pro,20,0,0,True,False,False,False,monthly,True,Company_278,Cybersecurity,UK,event,False,2024-10-27,pricing,4.03,False,False,2.96,83348.0,,
S-427275,A-4c38bc,2024-07-14,,Enterprise,36,7164,85968,False,False,False,False,annual,True,Company_55,HealthTech,UK,event,False,,,,,,9.76,197712.0,0.26,Low
S-628729,A-157070,2024-10-05,,Enterprise,23,4577,54924,False,False,True,False,monthly,True,Company_85,FinTech,US,ads,False,2024-12-27,features,0.0,False,False,1.91,141242.0,,
S-e260ff,A-bcf87c,2024-12-09,,Enterprise,21,4179,50148,False,False,False,False,annual,True,Company_288,FinTech,US,event,False,,,,,,6.14,37810.0,0.49,Medium
S-89c03a,A-8ae3fc,2024-09-20,,Pro,9,441,5292,False,False,False,False,monthly,True,Company_495,DevTools,CA,ads,False,2024-08-10,budget,0.0,False,False,1.41,14810.0,,
S-86455a,A-1b9609,2023-12-01,,Pro,12,588,7056,False,False,False,False,monthly,True,Company_5,EdTech,IN,ads,False,2024-11-16,unknown,0.0,False,False,2.69,95664.0,,
S-3660bb,A-474ad4,2024-12-14,,Enterprise,10,0,0,True,False,False,False,monthly,False,Company_261,EdTech,US,organic,False,,,,,,13.11,51018.0,0.2,Low
S-6bf7d7,A-9bfc9f,2024-03-23,,Pro,53,2597,31164,False,False,True,False,annual,False,Company_228,DevTools,CA,ads,False,,,,,,15.57,96241.0,0.14,Low
S-feccd8,A-812c5b,2024-12-22,,Enterprise,55,10945,131340,False,False,False,False,monthly,True,Company_395,DevTools,CA,organic,False,2024-05-11,support,11.83,False,False,2.5,82438.0,,
S-0e4b0c,A-39b19f,2023-02-28,2023-06-15,Pro,24,1176,14112,False,False,True,True,annual,True,Company_176,FinTech,US,partner,False,2023-03-11,unknown,0.0,False,False,1.18,146548.0,,
S-0e0578,A-de58ca,2023-07-09,,Basic,15,285,3420,False,False,False,False,monthly,True,Company_212,HealthTech,DE,organic,False,,,,,,20.63,211258.0,0.17,Low
S-74538d,A-e60f9d,2024-11-13,,Pro,46,2254,27048,False,False,False,False,annual,True,Company_178,FinTech,US,other,False,,,,,,4.17,88091.0,0.3,Low
S-c2a6cb,A-9affe6,2023-10-19,,Enterprise,7,1393,16716,False,True,False,False,annual,False,Company_401,Cybersecurity,US,other,False,2024-01-12,features,83.06,False,False,9.72,98546.0,,
S-1bd2ec,A-e60f9d,2024-12-25,2024-12-28,Basic,38,722,8664,False,False,False,True,annual,True,Company_178,FinTech,US,other,False,,,,,,4.17,88091.0,0.3,Low
S-3cc352,A-d27f50,2024-08-06,,Pro,44,2156,25872,False,False,False,False,monthly,True,Company_163,Cybersecurity,UK,ads,False,,,,,,5.39,87410.0,0.46,Medium
S-124207,A-fdfc91,2023-08-31,,Basic,29,551,6612,False,False,False,False,annual,True,Company_414,Cybersecurity,US,ads,False,,,,,,19.88,105724.0,0.16,Low
S-76e7d9,A-712f1c,2024-02-09,,Enterprise,44,8756,105072,False,False,False,False,monthly,True,Company_331,DevTools,US,ads,False,2024-10-24,budget,68.99,False,False,10.28,273023.0,,
S-44f453,A-19b2c8,2024-02-10,,Enterprise,20,3980,47760,False,False,False,False,monthly,True,Company_476,DevTools,IN,other,False,2024-08-16,pricing,0.0,False,False,14.36,217582.0,,
S-03a97f,A-f51f16,2024-03-15,,Pro,60,2940,35280,False,False,False,False,annual,True,Company_282,HealthTech,US,partner,False,2024-12-07,competitor,0.0,True,True,6.41,94140.0,,
S-80c01c,A-d3c88e,2024-12-16,,Basic,16,304,3648,False,True,False,False,annual,True,Company_490,DevTools,US,event,False,2024-11-18,support,0.0,False,False,1.02,30470.0,,
S-666181,A-eb1312,2024-10-09,,Basic,71,1349,16188,False,False,False,False,annual,True,Company_322,FinTech,US,partner,False,2024-09-28,unknown,0.0,False,False,0.39,25716.0,,
S-401496,A-68f37c,2023-08-13,2024-06-22,Enterprise,4,796,9552,False,True,False,True,monthly,True,Company_202,HealthTech,US,ads,False,2024-02-08,competitor,0.0,False,False,6.83,407182.0,,
S-ca0c98,A-fda07f,2024-11-28,,Pro,7,343,4116,False,False,False,False,monthly,True,Company_230,Cybersecurity,FR,partner,False,2024-09-13,support,17.34,False,False,1.08,63708.0,,
S-017e33,A-f9cc74,2024-11-08,2024-11-25,Basic,53,1007,12084,False,False,False,True,monthly,True,Company_360,DevTools,FR,partner,True,,,,,,,,,
S-183073,A-e7a1e2,2024-07-19,,Enterprise,14,2786,33432,False,False,False,False,monthly,True,Company_295,Cybersecurity,US,event,False,2024-09-08,support,0.0,True,False,2.53,42159.0,,
S-22f503,A-7a0d69,2024-09-06,,Basic,6,114,1368,False,False,False,False,annual,True,Company_187,DevTools,DE,ads,True,2024-07-09,features,28.95,False,False,,,,
S-7de1b7,A-4d1e75,2024-10-27,,Enterprise,20,3980,47760,False,False,False,False,annual,True,Company_58,DevTools,US,other,False,2024-09-05,budget,0.0,False,False,0.49,82942.0,,
S-c7f564,A-902ef7,2024-11-23,,Pro,83,0,0,True,True,False,False,annual,True,Company_270,HealthTech,US,other,False,2024-09-26,pricing,0.0,False,False,0.76,86121.0,,
S-ceffe9,A-89ee83,2024-11-23,,Enterprise,2,398,4776,False,False,False,False,monthly,True,Company_312,Cybersecurity,US,organic,False,,,,,,2.89,37935.0,0.73,High
S-9b2c95,A-e60f9d,2024-11-24,2024-12-05,Pro,29,0,0,True,False,False,True,annual,True,Company_178,FinTech,US,other,False,,,,,,4.17,88091.0,0.3,Low
S-cf6ec1,A-d77f4c,2024-08-04,,Enterprise,22,4378,52536,False,True,False,False,monthly,False,Company_470,DevTools,US,partner,True,2024-10-03,unknown,0.0,False,True,,,,
S-a44d72,A-b30291,2024-06-12,,Pro,18,882,10584,False,False,False,False,monthly,True,Company_344,HealthTech,US,event,True,2024-09-03,competitor,277.54,False,True,,,,
S-0b0ffa,A-180abf,2024-01-17,2024-04-19,Basic,64,0,0,True,False,False,True,annual,True,Company_122,DevTools,US,event,False,2023-12-04,support,0.0,False,False,3.68,162662.0,,
S-02af5d,A-d82ef9,2024-08-07,,Enterprise,26,0,0,True,False,False,False,annual,True,Company_355,EdTech,UK,other,False,2024-08-06,budget,74.94,False,False,1.15,52343.0,,
S-d07c53,A-249769,2024-09-24,,Basic,21,399,4788,False,False,False,False,annual,True,Company_214,Cybersecurity,US,event,False,2024-12-16,budget,0.0,False,False,7.72,61479.0,,
S-c67b80,A-eb2fdc,2024-02-24,,Pro,31,1519,18228,False,False,False,False,monthly,False,Company_216,DevTools,AU,organic,False,2024-05-26,competitor,0.0,False,False,6.14,146998.0,,
S-5d68fb,A-5f2961,2024-12-02,,Pro,49,2401,28812,False,False,False,False,annual,True,Company_284,HealthTech,US,partner,False,2024-11-28,pricing,6.6,False,False,0.2,9354.0,,
S-fc9cc3,A-9b9fe9,2024-01-01,,Pro,24,1176,14112,False,False,False,False,annual,True,Company_71,EdTech,AU,other,False,2024-09-04,features,0.0,False,False,2.96,61072.0,,
